time,latitude,longitude,depth,mag,magType,place
2023-01-16T21:57:39.008Z,14.4132,122.9785,10,5.1,mww,"22 km NNE of Sabang Indan, Philippines"
2023-01-03T11:43:09.860Z,10.3251,125.8803,57.036,5.1,mb,"33 km E of Loreto, Philippines"
2022-11-24T15:05:06.339Z,18.3758,120.8234,46.255,5.1,mww,"Luzon, Philippines"
2022-10-25T13:20:43.521Z,8.1873,126.5518,78.118,5.1,mb,"13 km ENE of Barcelona, Philippines"
2022-10-03T08:07:53.400Z,9.8876,126.0229,59.67,5.1,mb,"4 km E of Libas, Philippines"
2022-08-13T04:25:06.519Z,10.1847,121.9587,10,5.1,mww,"26 km S of Magdalena, Philippines"
2022-07-31T18:48:10.312Z,17.292,120.7158,10,5.1,mww,"13 km S of San Ramon, Philippines"
2022-03-26T13:53:20.386Z,20.73,122.1407,10,5.1,mww,"35 km NNE of Basco, Philippines"
2022-03-23T12:02:54.213Z,19.3607,122.3017,10,5.1,mww,"95 km N of San Vicente, Philippines"
2022-03-13T21:25:22.404Z,14.0839,119.4375,10,5.1,mb,"69 km WNW of Cabra, Philippines"
2021-11-30T00:56:07.547Z,6.7382,126.1243,58.22,5.1,mww,"3 km NE of Talisay, Philippines"
2021-10-29T04:33:31.864Z,5.2665,125.4891,177.31,5.1,mb,"15 km S of Sarangani, Philippines"
2021-07-18T00:09:35.666Z,6.4617,126.2332,70.91,5.1,mww,"12 km E of Nangan, Philippines"
2021-05-23T04:41:33.051Z,14.7572,119.3391,10,5.1,mww,"82 km WSW of San Nicolas, Philippines"
2021-05-10T17:25:58.755Z,5.7071,126.2283,89.11,5.1,mww,"68 km ESE of Mangili, Philippines"
2021-04-06T20:08:48.001Z,5.9056,126.5496,100.3,5.1,mww,"65 km SE of Pondaguitan, Philippines"
2021-03-12T20:14:04.639Z,4.9082,126.4194,67.36,5.1,mb,"119 km ESE of Sarangani, Philippines"
2021-02-04T22:00:43.301Z,14.5452,122.976,10,5.1,mww,"35 km NE of Paracale, Philippines"
2020-12-25T02:00:33.427Z,5.0517,125.9067,100.59,5.1,mb,"62 km SE of Sarangani, Philippines"
2023-10-13T00:24:16.278Z,13.7815,120.8353,10,5,mww,"8 km WNW of Solo, Philippines"
2023-08-25T19:13:41.882Z,6.2438,124.7479,13.286,5,mww,"4 km ENE of Lake Sebu, Philippines"
2023-07-10T13:01:11.580Z,11.3685,125.3559,70.925,5,mb,"17 km WSW of Cabay, Philippines"
2023-05-14T12:44:31.775Z,7.4664,123.5627,27.349,5,mww,"14 km E of Malim, Philippines"
2023-05-13T14:37:43.821Z,10.1268,126.0458,45.197,5,mww,Philippine Islands region
2023-02-20T03:09:47.618Z,15.2022,122.8013,10,5,mb,"70 km NE of Casuguran, Philippines"
2023-02-12T11:41:37.287Z,10.1176,126.5319,33.413,5,mb,Philippine Islands region
2022-12-19T09:05:57.204Z,17.245,120.7169,13.968,5,mww,"18 km S of San Ramon, Philippines"
2022-12-16T11:00:46.436Z,13.6187,120.8179,139.676,5,mww,"7 km SW of Tingloy, Philippines"
2022-11-27T04:43:26.582Z,9.3616,126.378,56.023,5,mb,"22 km ENE of Cortes, Philippines"
2022-11-19T02:18:23.010Z,16.0337,119.4751,23.546,5,mb,"32 km WNW of Ilioilio, Philippines"
2022-11-02T13:07:41.843Z,19.5364,121.7653,43.886,5,mww,"Babuyan Islands region, Philippines"
2022-07-28T11:19:34.073Z,19.8341,121.277,22.249,5,mb,"99 km SW of Basco, Philippines"
2022-08-01T17:10:12.739Z,11.2692,125.4249,62.491,5,mb,"Samar, Philippines"
2022-07-31T05:49:59.501Z,17.6548,120.7067,10,5,mb,"0 km NNW of Dolores, Philippines"
2022-07-27T20:02:40.169Z,17.3065,120.9854,10,5,mb,"17 km WSW of Pasil, Philippines"
2022-07-27T09:04:18.890Z,16.286,123.0881,10,5,mb,Philippine Islands region
2022-04-28T11:42:27.833Z,9.9835,126.1778,58.51,5,mww,"15 km NNE of Pilar, Philippines"
2022-03-29T16:27:15.030Z,14.1022,119.2926,10,5,mww,"85 km WNW of Cabra, Philippines"
2022-03-13T21:27:18.243Z,14.0971,119.3799,10,5,mb,"75 km WNW of Cabra, Philippines"
2022-03-15T18:15:49.383Z,14.0082,119.4751,9.94,5,mb,"63 km WNW of Cabra, Philippines"
2022-03-15T08:05:20.632Z,14.128,119.3606,10,5,mww,"78 km WNW of Cabra, Philippines"
2022-03-14T15:22:53.896Z,14.1312,119.5165,10,5,mb,"Luzon, Philippines"
2021-12-21T02:55:12.180Z,5.381,126.2414,70.33,5,mb,"86 km E of Sarangani, Philippines"
