time,latitude,longitude,depth,mag,magType,place
2022-05-21T21:50:48.047Z,14.0187,120.6494,129,6.1,mww,"1 km S of Lian, Philippines"
2020-12-15T23:21:57.807Z,5.1789,125.4212,14,6.1,mww,"25 km S of Sarangani, Philippines"
2009-11-28T18:10:20.630Z,5.326,126.288,38.8,6.1,mwc,"91 km E of Sarangani, Philippines"
1998-08-23T05:36:12.920Z,14.697,120.046,70.1,6.1,mwb,"22 km W of Sabang, Philippines"
1997-05-22T13:21:36.350Z,18.915,121.336,33.9,6.1,mwc,"38 km NNE of Namuac, Philippines"
1996-06-14T15:04:40.740Z,12.811,125.055,28.8,6.1,mwc,"16 km N of Cabodiongan, Philippines"
1996-09-20T12:24:42.120Z,9.446,126.544,33,6.1,mwb,"42 km ENE of Cortes, Philippines"
1996-11-07T06:10:16.710Z,9.785,126.34,33,6.1,mwc,"25 km E of Union, Philippines"
1995-05-05T04:39:10.630Z,12.637,125.238,33,6.1,ms,"12 km N of Cabatuan, Philippines"
1996-07-30T17:38:30.710Z,14.509,119.954,33,6.1,mwb,"38 km WSW of Sabang, Philippines"
1995-04-29T09:43:57.770Z,11.853,125.982,15,6.1,mwb,"57 km E of Sulat, Philippines"
1995-04-23T06:38:11.200Z,5.954,123.818,530.5,6.1,mw,"49 km SW of Palimbang, Philippines"
1993-12-10T08:59:35.820Z,20.912,121.282,12,6.1,mwb,"88 km NW of Basco, Philippines"
1991-06-15T23:02:14.370Z,10.098,125.855,71,6.1,mw,"21 km WNW of Santa Monica, Philippines"
2006-10-24T03:03:45.280Z,4.898,125.295,10,6.1,mwb,"58 km SSW of Sarangani, Philippines"
2002-10-12T23:43:12.850Z,15.096,118.504,33,6.1,mwb,"155 km WSW of Palauig, Philippines"
2020-03-26T15:38:04.089Z,5.5669,125.0521,59,6.1,mww,"27 km SW of Burias, Philippines"
2019-05-31T10:12:32.876Z,6.2795,126.479,98.72,6.1,mww,"34 km ESE of Pondaguitan, Philippines"
2018-05-05T06:19:05.040Z,14.5708,123.9192,18,6.1,mww,"64 km NNW of Pandan, Philippines"
2015-07-03T06:43:21.540Z,10.1691,125.8907,32,6.1,mww,"23 km NW of Santa Monica, Philippines"
2009-06-14T05:58:43.270Z,5.361,126.438,35,6.1,mwc,"107 km SE of Caburan, Philippines"
2007-02-12T12:45:31.700Z,5.561,126.073,24,6.1,mwc,"62 km SE of Caburan, Philippines"
2012-11-02T18:17:32.730Z,9.219,126.161,37,6.1,mww,"2 km NW of Tigao, Philippines"
2014-12-29T09:29:37.390Z,8.6341,121.5213,8,6.1,mww,"122 km NNW of Siocon, Philippines"
2019-04-22T09:11:12.013Z,14.9538,120.5149,21.84,6.1,mww,"3 km WSW of San Francisco, Philippines"
2013-02-16T04:37:36.220Z,5.812,125.748,105,6.1,mww,"16 km SE of Caburan, Philippines"
2023-02-01T10:44:46.067Z,7.7431,126.0566,19,6,mww,"1 km NW of Babag, Philippines"
2022-06-30T18:40:36.938Z,19.0236,121.3363,30,6,mww,"49 km NNE of Namuac, Philippines"
2021-02-07T04:22:56.667Z,6.7693,125.1011,16,6,mww,"9 km W of Magsaysay, Philippines"
2010-05-31T10:16:00.230Z,6.948,124.025,20,6,mwc,"11 km SW of Rimpeso, Philippines"
2012-02-06T10:10:19.850Z,9.885,123.095,9,6,mww,"0 km NW of Amdos, Philippines"
2010-03-25T05:29:24.720Z,13.827,120.071,16,6,mwc,"2 km SW of Tagbak, Philippines"
1999-02-06T17:45:24.470Z,19.2,121.265,33,6,mwc,"66 km N of Namuac, Philippines"
1998-05-23T17:44:47.770Z,8.138,123.726,657.8,6,mwc,"6 km WNW of Tabid, Philippines"
1996-10-17T16:15:25.750Z,5.704,125.945,116.8,6,mwc,"41 km SE of Caburan, Philippines"
1996-11-05T12:29:45.960Z,9.756,126.36,33,6,mwc,"27 km E of Union, Philippines"
1996-01-27T17:48:09.380Z,9.187,126.416,33,6,mw,"26 km E of Tigao, Philippines"
1995-04-21T00:02:48.410Z,11.973,125.688,27.6,6,mw,"23 km ESE of Dolores, Philippines"
1995-02-19T00:17:45.190Z,5.244,126.265,75.8,6,mw,"90 km ESE of Sarangani, Philippines"
1994-04-27T14:11:45.150Z,13.074,119.545,9.7,6,mw,"99 km NNW of Buluang, Philippines"
2008-08-15T10:25:16.530Z,12.897,124.319,10,6,mwc,"19 km E of Barcelona, Philippines"
2004-09-15T19:10:50.600Z,14.22,120.411,115.4,6,mwb,"24 km WNW of Looc, Philippines"
2003-07-01T17:00:22.820Z,12.803,124.898,33,6,mwc,"22 km NW of Cabodiongan, Philippines"
2003-06-26T14:11:44.590Z,12.253,123.85,10,6,mwb,"4 km ENE of Miaga, Philippines"
2003-01-06T23:43:50.840Z,15.651,119.658,10,6,mwb,"25 km WSW of Bolitoc, Philippines"
2002-03-08T18:27:53.190Z,5.871,124.274,23.3,6,mwb,"28 km SSW of Maguling, Philippines"
2020-02-06T13:40:05.791Z,5.4543,126.5692,19,6,mww,"109 km SSE of Pondaguitan, Philippines"
2019-07-26T23:37:58.444Z,20.8373,121.9744,9,6,mww,"43 km N of Basco, Philippines"
2018-11-04T07:55:29.280Z,7.7599,123.867,600.71,6,mww,"10 km SSE of Sapad, Philippines"
2017-05-20T01:06:14.250Z,9.3818,123.9537,533,6,mww,"25 km S of Alburquerque, Philippines"
2016-04-13T18:21:52.730Z,7.7917,122.0231,17,6,mww,"15 km NW of Siocon, Philippines"
2008-03-03T13:49:40.420Z,19.913,121.334,10,6,mwc,"89 km SW of Basco, Philippines"
2011-03-20T08:26:09.580Z,18.994,121.246,27,6,mww,"43 km NNE of Namuac, Philippines"
2011-11-30T00:27:06.990Z,15.455,118.999,9,6,mww,"97 km W of Palauig, Philippines"
2019-03-08T15:06:12.620Z,10.384,126.006,30,6,mww,"40 km N of Santa Monica, Philippines"
2020-11-15T22:37:43.690Z,8.7572,126.2914,43,6,mww,"5 km S of Marihatag, Philippines"
2023-10-19T18:58:51.126Z,7.4623,126.3516,8.494,5.9,mww,"18 km WSW of Batiano, Philippines"
2023-03-07T06:02:31.481Z,7.4941,126.0567,16.051,5.9,mww,"6 km SE of Manat, Philippines"
2021-08-13T15:08:31.218Z,13.7016,120.7817,121,5.9,mww,"10 km WNW of Tingloy, Philippines"
2010-03-22T19:58:13.040Z,18.451,120.742,32,5.9,mwb,"9 km SSW of Bangui, Philippines"
2012-06-16T22:18:47.470Z,15.593,119.563,28,5.9,mww,"37 km WSW of Bolitoc, Philippines"
2011-07-25T17:15:40.810Z,14.947,120.043,35,5.9,mww,"Luzon, Philippines"
2010-12-08T06:47:15.880Z,7.481,126.505,53.1,5.9,mwc,"6 km NW of San Luis, Philippines"
2010-01-27T18:49:33.620Z,13.639,125.486,29.1,5.9,mwc,"117 km NNE of Cabodiongan, Philippines"
2009-09-18T06:23:53.490Z,12.616,120.429,12,5.9,mwb,"41 km WSW of Batasan, Philippines"
1999-08-26T01:24:42.600Z,10.376,126.006,62.6,5.9,mwc,"39 km N of Santa Monica, Philippines"
